L1 seg.code,L1 seg.description,L2 seg.code,L2 seg.description,L3 seg.code,L3 seg.description,Buyers' name
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141010,ALGINATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141011,STARCH,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141012,CATIONIC ORGANIC COAGULANT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141013,ANIONIC ORGANIC COAGULANT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141014,LIQUID BLENDED COAGULANT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141015,LIQUID COAGULANT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141016,CATIONIC BEAD COAGULANT,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141017,ANIONIC EMULSION,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141018,ANIONIC DEWATERED EMULSION,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141019,CATIONIC EMULSION,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141020,CATIONIC DEWATERED EMULSION,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141021,NON IONIC EMULSION,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141022,XANTHANE GUM,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141023,CLEANING LIQUID OF POLYMERIC CATIONIC POWDER,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141024,CLEANING LIQUID OF ANIONIC EMULSION,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141025,CLEANING LIQUID OF CATIONIC EMULSION,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141026,ANIONIC POWDER,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141027,CATIONIC BEAD,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141028,CATIONIC POWDER,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141029,NON IONIC POWDER,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1410,POLYMERS,141099,POLYMERS,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1411,MINERAL COAGULANTS BASE IRON,141110,FERROUS CHLORIDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1411,MINERAL COAGULANTS BASE IRON,141111,FERRIC CHLORIDE 40%,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1411,MINERAL COAGULANTS BASE IRON,141112,FERRIC CHLORIDE SULPHATE SOLUTION,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1411,MINERAL COAGULANTS BASE IRON,141113,IRON SULPHATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1411,MINERAL COAGULANTS BASE IRON,141114,IRON SULFATE MICRO BEADS,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1411,MINERAL COAGULANTS BASE IRON,141115,FERROSILICON,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1411,MINERAL COAGULANTS BASE IRON,141199,MINERAL COAGULANTS BASE IRON,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1412,PHOSPHATES,141210,DIAMMONIUM PHOSPHATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1412,PHOSPHATES,141211,TRISODIUM PHOSPHATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1412,PHOSPHATES,141299,PHOSPHATES,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1413,MINERAL COAGULANTS BASE ALUMINIUM,141310,SODIUM ALUMINATE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1413,MINERAL COAGULANTS BASE ALUMINIUM,141311,NALMET,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1413,MINERAL COAGULANTS BASE ALUMINIUM,141312,(PAC) POLY ALUMINIUM CHLORIDE,Geraldine
14,CHEMICAL AND TREATMENT PRODUCTS,1413,MINERAL COAGULANTS BASE ALUMINIUM,141313,LIQUID ALUMINIUM SULPHATE 8%,Geraldine
