SupplierNo,Supplier Name,Country,Seg.Code,Category code description,Number of Invoices,SRM Type,Created on,Last Invoice date,Currency,Year To Date Spend
1,Supplier 1,GB,361610,GROUP PROTECTION AND SAFETY EQUIPMENT,491,,03.10.2017,30.07.2018,GBP,"928,242.15"
2,Supplier 2,GB,361610,GROUP PROTECTION AND SAFETY EQUIPMENT,300,,03.10.2017,30.07.2018,GBP,"1,037,365.87"
3,Supplier 3,GB,361610,GROUP PROTECTION AND SAFETY EQUIPMENT,4,,22.11.2017,09.05.2018,GBP,"35,569.41"
4,Supplier 4,GB,361610,GROUP PROTECTION AND SAFETY EQUIPMENT,7,,22.11.2017,31.07.2018,GBP,"149,755.89"
5,Supplier 5,GB,361610,GROUP PROTECTION AND SAFETY EQUIPMENT,3,PREFERRED,22.09.2017,19.03.2018,GBP,"1,245.00"
6,Supplier 6,GB,961099,INTERNAL RE-INVOICING,1,APPROVED,22.09.2017,29.03.2018,GBP,"900,000.00"
7,Supplier 7,FR,961099,INTERNAL RE-INVOICING,4,APPROVED,22.09.2017,26.06.2018,GBP,"6,268,302.15"
8,Supplier 8,FR,961099,INTERNAL RE-INVOICING,1,APPROVED,22.09.2017,19.01.2018,GBP,"1,225,769.79"
9,Supplier 9,GB,308016,WATER TREATMENT INSTALLATION MAINTENANCE (GER),13,APPROVED,22.09.2017,19.07.2018,GBP,"55,917.61"
10,Supplier 10,NL,961099,INTERNAL RE-INVOICING,49,APPROVED,22.09.2017,11.05.2018,GBP,"1,997,874.45"
11,Supplier 11,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,19.03.2018,GBP,600
12,Supplier 12,FR,961099,INTERNAL RE-INVOICING,10,APPROVED,22.09.2017,19.03.2018,GBP,"712,218.73"
13,Supplier 13,GB,961099,INTERNAL RE-INVOICING,25,APPROVED,22.09.2017,25.07.2018,GBP,"4,325,342.67"
14,Supplier 14,NL,999999,UNCLASSIFIED,68,APPROVED,22.09.2017,19.07.2018,GBP,"4,551,498.20"
15,Supplier 15,BE,999999,UNCLASSIFIED,4,APPROVED,23.09.2017,04.07.2018,GBP,"2,739,500.82"
16,Supplier 16,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,71,APPROVED,22.09.2017,27.07.2018,GBP,"74,705.95"
17,Supplier 17,GB,999999,UNCLASSIFIED,3,APPROVED,22.09.2017,27.06.2018,GBP,"3,675.00"
18,Supplier 18,GB,361610,GROUP PROTECTION AND SAFETY EQUIPMENT,1,APPROVED,22.09.2017,27.07.2018,GBP,"2,200.00"
19,Supplier 19,GB,641120,SPECIFIC EQUIPMENTS,10,APPROVED,22.09.2017,27.07.2018,GBP,"22,460.41"
20,Supplier 20,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,3,APPROVED,22.09.2017,27.06.2018,GBP,"1,596.00"
21,Supplier 21,GB,641311,CONSTRUCTION MACHINERY LONG TERM RENTAL,28,APPROVED,22.09.2017,02.07.2018,GBP,"16,505.62"
22,Supplier 22,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,601,APPROVED,22.09.2017,11.07.2018,GBP,"69,808.49"
23,Supplier 23,GB,701211,SECURITY SERVICES,7,APPROVED,22.09.2017,11.04.2018,GBP,"6,319.99"
24,Supplier 24,GB,306799,CONVEYOR,4,APPROVED,22.09.2017,18.04.2018,GBP,"2,104.00"
25,Supplier 25,DE,304212,FANS - MAINTENANCE AND SERVICE,1,APPROVED,22.09.2017,06.02.2018,GBP,"26,040.20"
26,Supplier 26,GB,701099,SITE MAINTENANCE AND WORKS,6,APPROVED,22.09.2017,27.07.2018,GBP,"9,458.00"
27,Supplier 27,GB,381099,ANALYSES AND LABORATORY,1,APPROVED,22.09.2017,28.03.2018,GBP,92
28,Supplier 28,GB,961301,ASSOCIATION SUBSCRITION,1,APPROVED,22.09.2017,27.06.2018,GBP,"5,200.00"
29,Supplier 29,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,16,APPROVED,22.09.2017,27.07.2018,GBP,"46,340.61"
30,Supplier 30,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,9,APPROVED,22.09.2017,28.03.2018,GBP,"12,137.14"
31,Supplier 31,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,04.04.2018,GBP,115
32,Supplier 32,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,1,APPROVED,22.09.2017,27.07.2018,GBP,"1,680.00"
33,Supplier 33,GB,641710,FUEL : BULK DIESEL,10,APPROVED,22.09.2017,20.06.2018,GBP,"48,187.70"
34,Supplier 34,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,1,APPROVED,22.09.2017,28.02.2018,GBP,430
35,Supplier 35,GB,701901,FACILITY MANAGEMENT,3,APPROVED,22.09.2017,28.02.2018,GBP,"3,330.00"
36,Supplier 36,GB,641399,CONSTRUCTION MACHINERY,10,APPROVED,22.09.2017,02.07.2018,GBP,"9,676.30"
37,Supplier 37,GB,801299,HARDWARE,56,APPROVED,22.09.2017,27.07.2018,GBP,"141,433.25"
38,Supplier 38,GB,701780,SHORT TERM RENT,4,APPROVED,22.09.2017,27.07.2018,GBP,500
39,Supplier 39,GB,999999,UNCLASSIFIED,3,APPROVED,22.09.2017,02.07.2018,GBP,"7,145.00"
40,Supplier 40,GB,321499,ELECTRICAL INSTALLATION SERVICES AND MAINTENANCE,11,APPROVED,22.09.2017,27.07.2018,GBP,"10,110.38"
41,Supplier 41,GB,701610,COLLECTIVE CATERING,4,APPROVED,22.09.2017,11.04.2018,GBP,427.26
42,Supplier 42,GB,721412,MICE AND SEMINAR,127,APPROVED,22.09.2017,27.07.2018,GBP,"41,977.67"
43,Supplier 43,GB,701101,"PLANTS, MAINTENANCE OF GREEN SPACES, GARDEN AND ROAD WORK",6,APPROVED,22.09.2017,27.07.2018,GBP,"8,500.00"
44,Supplier 44,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,415,APPROVED,22.09.2017,27.07.2018,GBP,"70,156.47"
45,Supplier 45,GB,721413,DINING EXPENSES,1,APPROVED,22.09.2017,25.04.2018,GBP,"2,493.33"
46,Supplier 46,GB,361013,SMALL INDUSTRIAL SUPPLIES,8,APPROVED,22.09.2017,13.06.2018,GBP,"3,966.03"
47,Supplier 47,GB,641115,EQUIPMENTS FOR SEWAGE/HP CLEANERS VEHICLES,8,APPROVED,22.09.2017,27.07.2018,GBP,"4,933.04"
48,Supplier 48,GB,841212,TRAINING: HSE - SAFETY,1,APPROVED,22.09.2017,10.01.2018,GBP,945
49,Supplier 49,GB,401099,CIVIL AND PUBLIC WORK,4,APPROVED,22.09.2017,02.07.2018,GBP,"133,294.49"
50,Supplier 50,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,10,APPROVED,22.09.2017,26.04.2018,GBP,"14,945.00"
